,RMS,Variance,FFT Peak,Class
0,0.076830065,0.005902767,186.8878093,obj
1,0.084094681,0.007070866,183.2585362,obj
2,0.1155183,0.01334348,268.8308756,obj
3,0.1176333,0.013828458,272.5113103,obj
4,0.117723714,0.013858613,274.2343691,obj
5,0.111625824,0.012157825,206.7941827,obj
6,0.106674664,0.011074864,199.0668373,obj
7,0.104433683,0.010624273,193.7394463,obj
8,0.103322208,0.01045935,191.0350537,obj
9,0.107944507,0.011338036,200.6661591,obj
10,0.117051471,0.01341479,215.4533332,obj
11,0.113864679,0.012673022,210.7476877,obj
12,0.105361926,0.010812,196.7842798,obj
13,0.114882407,0.012918887,211.950999,obj
14,0.113393713,0.012541439,211.0147087,obj
15,0.105725672,0.01083938,197.5748153,obj
16,0.117045219,0.013407477,215.0632443,obj
17,0.114022243,0.012677956,211.5213477,obj
18,0.115604921,0.013040052,213.5024868,obj
19,0.09848896,0.009391906,185.4170958,obj
20,0.102176822,0.010142896,190.4150548,obj
21,0.109211499,0.011663351,202.214193,obj
22,0.106782437,0.010797127,207.5766532,obj
23,0.109192351,0.011513907,204.4511137,obj
24,0.1079898,0.011154879,205.591154,obj
25,0.111025619,0.012056391,214.2670733,obj
26,0.11111304,0.012039815,215.4934806,obj
27,0.10207649,0.010109743,198.5713198,obj
28,0.10693015,0.011148297,206.4251805,obj
29,0.097229066,0.009144781,190.8189912,obj
30,0.112789546,0.012405639,218.310544,obj
31,0.097781356,0.009254816,190.7814447,obj
32,0.108004029,0.011360645,209.395624,obj
33,0.113908851,0.012658429,219.8831356,obj
34,0.101797253,0.009937052,197.8587576,obj
35,0.109211374,0.011611666,211.2216685,obj
36,0.110249253,0.011864293,211.327093,obj
37,0.110296815,0.011847357,213.4996234,obj
38,0.11204407,0.012240478,215.160019,obj
39,0.112905291,0.012432314,216.8052547,obj
40,0.122829056,0.014763063,236.3019781,obj
41,0.099910297,0.009809731,191.4391368,obj
42,0.114313639,0.012747094,219.754458,obj
43,0.098058406,0.009413037,187.1645779,obj
44,0.121415182,0.01445236,228.2537453,obj
45,0.1155183,0.01334348,268.8308756,obj
46,0.1176333,0.013828458,272.5113103,obj
47,0.117723714,0.013858613,274.2343691,obj
48,0.111625824,0.012157825,206.7941827,obj
49,0.106674664,0.011074864,199.0668373,obj
50,0.104433683,0.010624273,193.7394463,obj
51,0.103322208,0.01045935,191.0350537,obj
52,0.107944507,0.011338036,200.6661591,obj
53,0.117051471,0.01341479,215.4533332,obj
54,0.113864679,0.012673022,210.7476877,obj
55,0.076830065,0.005902767,186.8878093,obj
56,0.084094681,0.007070866,183.2585362,obj
57,0.1155183,0.01334348,268.8308756,obj
58,0.1176333,0.013828458,272.5113103,obj
59,0.117723714,0.013858613,274.2343691,obj
60,0.111625824,0.012157825,206.7941827,obj
61,0.106674664,0.011074864,199.0668373,obj
62,0.104433683,0.010624273,193.7394463,obj
63,0.103322208,0.01045935,191.0350537,obj
64,0.111625824,0.012157825,206.7941827,obj
65,0.106674664,0.011074864,199.0668373,obj
66,0.104433683,0.010624273,193.7394463,obj
67,0.103322208,0.01045935,191.0350537,obj
68,0.107944507,0.011338036,200.6661591,obj
69,0.117051471,0.01341479,215.4533332,obj
70,0.113864679,0.012673022,210.7476877,obj
71,0.105361926,0.010812,196.7842798,obj
72,0.114882407,0.012918887,211.950999,obj
73,0.113393713,0.012541439,211.0147087,obj
74,0.105725672,0.01083938,197.5748153,obj
75,0.117045219,0.013407477,215.0632443,obj
76,0.114022243,0.012677956,211.5213477,obj
77,0.115604921,0.013040052,213.5024868,obj
78,0.084094681,0.007070866,183.2585362,obj
79,0.1155183,0.01334348,268.8308756,obj
80,0.1176333,0.013828458,272.5113103,obj
81,0.117723714,0.013858613,274.2343691,obj
82,0.111625824,0.012157825,206.7941827,obj
83,0.106674664,0.011074864,199.0668373,obj
84,0.1155183,0.01334348,268.8308756,obj
85,0.1176333,0.013828458,272.5113103,obj
86,0.117723714,0.013858613,274.2343691,obj
87,0.111625824,0.012157825,206.7941827,obj
88,0.106674664,0.011074864,199.0668373,obj
89,0.104433683,0.010624273,193.7394463,obj
90,0.103322208,0.01045935,191.0350537,obj
91,0.107944507,0.011338036,200.6661591,obj
92,0.117051471,0.01341479,215.4533332,obj
93,0.114022243,0.012677956,211.5213477,obj
94,0.115604921,0.013040052,213.5024868,obj
95,0.09848896,0.009391906,185.4170958,obj
96,0.102176822,0.010142896,190.4150548,obj
97,0.109211499,0.011663351,202.214193,obj
98,0.106782437,0.010797127,207.5766532,obj
99,0.109192351,0.011513907,204.4511137,obj
