RMS,Variance,FFT Peak,Tag
0.086423808,0.007180979,167.4484725,human
0.062563056,0.003579635,130.7228364,human
0.05577767,0.00279894,112.7456956,human
0.058750239,0.00312846,121.5979428,human
0.054332386,0.002555594,113.6194392,human
0.07627732,0.005358244,154.5435311,human
0.062931683,0.003656517,130.6268015,human
0.051471539,0.0024148,105.5535632,human
0.041212127,0.001455355,87.24816253,human
0.055040649,0.002692592,114.1926481,human
0.058620977,0.003131824,117.4146655,human
0.059953105,0.003304531,122.2640092,human
0.072289882,0.004985808,139.2294847,human
0.092536075,0.008273824,176.735138,human
0.064876524,0.003905778,129.5332561,human
0.065215548,0.003988826,127.1480016,human
0.075855565,0.005443981,150.1615273,human
0.081819982,0.006389053,157.8335538,human
0.056592727,0.002954427,112.1854924,human
0.066966265,0.004153423,132.7567189,human
0.050974791,0.002266733,109.8324549,human
0.081031655,0.006248985,163.6084765,human
0.090826411,0.007878105,173.2935917,human
0.072460616,0.004971297,156.3727409,human
0.051958447,0.002384761,107.3856979,human
0.054204686,0.002654279,110.0584751,human
0.0459958,0.001803131,99.06982062,human
0.050103464,0.002231784,109.4530662,human
0.048295742,0.002010586,107.1160596,human
0.094342314,0.008524556,174.5363386,human
0.094342314,0.008524556,174.5363386,human
0.047236258,0.001840424,104.7503052,human
0.082311544,0.006418426,160.9767129,human
0.082311544,0.006418426,160.9767129,human
0.07438591,0.005217229,142.1762312,human
0.049427777,0.002180849,114.548641,human
0.094256396,0.00858414,183.6931579,human
0.081274089,0.006295919,165.0733309,human
0.05481628,0.002689717,111.8612842,human
0.044279881,0.001739776,92.2673435,human
0.111625824,0.012157825,206.7941827,obj
0.106674664,0.011074864,199.0668373,obj
0.104433683,0.010624273,193.7394463,obj
0.103322208,0.01045935,191.0350537,obj
0.107944507,0.011338036,200.6661591,obj
0.117051471,0.01341479,215.4533332,obj
0.113864679,0.012673022,210.7476877,obj
0.105361926,0.010812,196.7842798,obj
0.114882407,0.012918887,211.950999,obj
0.113393713,0.012541439,211.0147087,obj
0.105725672,0.01083938,197.5748153,obj
0.117045219,0.013407477,215.0632443,obj
0.114022243,0.012677956,211.5213477,obj
0.115604921,0.013040052,213.5024868,obj
0.09848896,0.009391906,185.4170958,obj
0.102176822,0.010142896,190.4150548,obj
0.109211499,0.011663351,202.214193,obj
0.106782437,0.010797127,207.5766532,obj
0.109192351,0.011513907,204.4511137,obj
0.1079898,0.011154879,205.591154,obj
0.111025619,0.012056391,214.2670733,obj
0.11111304,0.012039815,215.4934806,obj
0.10207649,0.010109743,198.5713198,obj
0.10693015,0.011148297,206.4251805,obj
0.097229066,0.009144781,190.8189912,obj
0.112789546,0.012405639,218.310544,obj
0.097781356,0.009254816,190.7814447,obj
0.108004029,0.011360645,209.395624,obj
0.113908851,0.012658429,219.8831356,obj
0.101797253,0.009937052,197.8587576,obj
0.109211374,0.011611666,211.2216685,obj
0.110249253,0.011864293,211.327093,obj
0.110296815,0.011847357,213.4996234,obj
0.11204407,0.012240478,215.160019,obj
0.112905291,0.012432314,216.8052547,obj
0.122829056,0.014763063,236.3019781,obj
0.099910297,0.009809731,191.4391368,obj
0.114313639,0.012747094,219.754458,obj
0.098058406,0.009413037,187.1645779,obj
0.121415182,0.01445236,228.2537453,obj
0.151504728,0.02267511,252.873614,wall
0.155211162,0.023765948,259.5058301,wall
0.153904542,0.023355808,259.2487631,wall
0.148651933,0.021777916,248.5056317,wall
0.154848729,0.02372009,256.2367395,wall
0.144614656,0.020567964,243.2887552,wall
0.157383736,0.024449491,262.0334798,wall
0.154741089,0.023587999,261.5366692,wall
0.152402531,0.022918394,255.4269713,wall
0.141888575,0.019790707,239.3323469,wall
0.147909103,0.021554895,247.6860564,wall
0.158473373,0.024670544,269.5826181,wall
0.145895371,0.021006327,243.1148583,wall
0.153796711,0.023338485,256.7272043,wall
0.152267865,0.022894588,253.6250526,wall
0.160544799,0.025456757,267.1589577,wall
0.15143917,0.022626122,253.2648601,wall
0.139791908,0.019239952,233.7307173,wall
0.149061891,0.021947516,247.0887181,wall
0.150047523,0.022207469,251.3161969,wall
0.177676737,0.03113106,309.5353168,wall
0.188309637,0.0351435,326.0577128,wall
0.187186095,0.034743108,322.3894426,wall
0.171680105,0.029147972,298.1603347,wall
0.206888201,0.042484962,353.8287179,wall
0.178340052,0.031510909,308.1728618,wall
0.190287585,0.035914851,328.107044,wall
0.185278447,0.034033738,318.9317236,wall
0.208745377,0.043240781,357.0075586,wall
0.180130244,0.032143292,316.7805969,wall
0.189149322,0.035456376,326.8825216,wall
0.196258509,0.038202874,337.496651,wall
0.192496733,0.036746703,331.1586535,wall
0.198521462,0.039148451,340.1730677,wall
0.192092364,0.036585213,333.6939538,wall
0.184725399,0.033808591,319.6736102,wall
0.21280503,0.044988253,361.9972617,wall
0.19225856,0.03664932,331.7322684,wall
0.176645223,0.030894217,305.8986611,wall
0.18691474,0.034647486,321.6078308,wall
